paper_id,num_figures
2601.13987v1,29
2601.14053v2,13
2601.14183v2,48
2601.14205v2,5
2601.14240v1,5
2601.14314v1,7
2601.14334v1,4
2601.14337v1,9
2601.14338v1,9
2601.14406v1,5
2601.14477v2,10
2601.14577v2,10
2601.14793v1,9
2601.14997v1,19
2601.15102v1,11
2601.15119v1,4
2601.15273v1,11
2601.15326v1,7
2601.15333v2,5
2601.15356v5,8
2601.15358v1,4
2601.15362v1,2
2601.15368v2,15
2601.15369v2,6
2601.15502v2,6
2601.15504v1,5
2601.15530v2,4
2601.15539v1,2
2601.15572v1,5
2601.15952v1,5
2601.16011v1,14
2601.16064v1,8
2601.16359v1,5
2601.16383v1,6
2601.16602v1,4
2601.16631v1,3
2601.16660v1,17
2601.16664v1,4
2601.16780v1,4
2601.16812v1,8
2601.16904v1,15
2601.16950v1,5
2601.17047v1,9
2601.17102v1,5
2601.17143v2,8
2601.17216v2,5
2601.17228v1,5
2601.17262v2,9
2601.17279v1,4
2601.17460v1,1
2601.17504v1,5
2601.17545v1,14
2601.17568v1,6
2601.17582v2,11
2601.17586v1,11
2601.17611v1,1
2601.17669v1,11
2601.17752v1,5
2601.18034v1,5
2601.18583v1,7
2601.18670v1,10
2601.18713v1,5
2601.18782v1,5
2601.18818v1,8
2601.18819v1,70
2601.18821v1,1
2601.18826v1,12
2601.18921v2,4
2601.18932v1,1
2601.19037v1,5
2601.19117v2,7
2601.19149v2,7
2601.19169v1,10
2601.19246v1,6
2601.19293v2,17
2601.19349v1,3
2601.19461v1,4
2601.19743v3,5
2601.20066v1,4
2601.20138v2,22
2601.20236v1,3
2601.20343v1,17
2601.20575v1,8
2601.20711v1,3
2601.20769v2,8
2601.20869v1,8
2601.20878v1,1
2601.20891v1,5
2601.20904v2,6
2601.20905v1,7
2601.21069v2,7
2601.21856v1,15
2601.22070v1,6
2601.22128v1,4
2601.22189v1,3
2601.22202v2,3
2601.22288v1,2
2601.22537v1,3
2601.22576v1,2
2601.22637v1,8
2601.22707v1,3
2601.22732v1,9
2601.22755v2,11
2601.22878v1,8
2601.22918v1,12
2601.22938v1,3
2601.22971v1,15
2601.23037v2,2
2601.23090v1,6
2601.23103v1,14
2601.23148v1,6
2601.23201v1,2
2601.23231v1,19
2602.00100v1,3
2602.00102v1,7
2602.00107v1,4
2602.00109v1,6
2602.00111v1,7
2602.00126v1,4
2602.00136v1,4
2602.00143v1,4
2602.00149v1,8
2602.00153v1,1
2602.00157v2,5
2602.00184v1,12
2602.00186v1,17
2602.00197v2,5
2602.00198v1,2
2602.00215v1,20
2602.00216v1,8
2602.00220v2,9
2602.00221v1,8
2602.00283v1,6
2602.00368v1,11
2602.00464v1,8
2602.00483v1,15
2602.00863v1,8
2602.01065v1,9
2602.01088v1,1
2602.01496v2,13
2602.01751v2,3
2602.01772v1,3
2602.01845v1,5
2602.02128v2,36
2602.02425v1,4
2602.02508v1,4
2602.02552v1,4
2602.02558v1,8
2602.02567v1,6
2602.02620v2,18
2602.02638v1,1
2602.02825v1,4
2602.02920v1,1
2602.03343v1,4
2602.03669v1,9
2602.03824v1,8
2602.03870v1,2
2602.03875v4,5
2602.03886v3,10
2602.03902v1,18
2602.03998v2,8
2602.04021v1,3
2602.04032v1,3
2602.04119v1,10
2602.04162v2,9
2602.04270v1,37
2602.04712v2,2
2602.04834v1,13
2602.04883v2,10
2602.04904v1,2
2602.04916v3,33
2602.04932v1,4
2602.04944v1,13
2602.04983v2,8
2602.05078v1,1
2602.05104v1,5
2602.05196v1,17
2602.05201v1,6
2602.05208v2,6
2602.05453v1,5
2602.05738v1,4
2602.05908v1,5
2602.06100v1,4
2602.06101v1,9
2602.06242v1,3
2602.06282v1,5
2602.06292v2,2
2602.06296v1,19
2602.06350v1,11
2602.06761v1,8
2602.06991v1,4
2602.07011v2,5
2602.07015v2,12
2602.07019v1,27
2602.07052v2,10
2602.07056v1,4
2602.07060v1,9
2602.07068v1,3
2602.07084v1,5
2602.07094v1,17
2602.07103v1,7
2602.07163v1,6
2602.07168v1,14
2602.07233v1,2
2602.07393v1,6
2602.07403v1,12
2602.07534v1,7
2602.07709v1,10
2602.07819v1,3
2602.08213v1,5
2602.08249v1,6
2602.08538v1,8
2602.08550v3,9
2602.08751v3,14
2602.08764v1,4
2602.08832v1,3
2602.09050v3,1
2602.09116v2,8
2602.09328v1,6
2602.09424v1,8
2602.09484v1,7
2602.09500v1,14
2602.09787v1,7
2602.09793v2,15
2602.10155v1,8
2602.10163v1,7
2602.10167v1,5
2602.10168v2,10
2602.10219v1,3
2602.10303v1,10
2602.10315v1,3
2602.10336v1,5
2602.10359v2,4
2602.10420v3,10
2602.10434v2,5
2602.10482v1,6
2602.10586v1,12
