2026-06-24 13:38:09 | INFO | Saved : D:\Research\PhD\Plagiarism\train\paper2fig2026\analysis\mining\positive_pairs.csv
2026-06-24 13:38:09 | INFO | ============================================================
2026-06-24 13:38:09 | INFO | Positive pairs : 4
2026-06-24 13:38:09 | INFO | Finished in 0.02 seconds
2026-06-24 13:38:09 | INFO | ============================================================
2026-06-24 13:57:04 | INFO | ============================================================
2026-06-24 13:57:04 | INFO | Paper2Fig-2026 Positive Pair Mining
2026-06-24 13:57:04 | INFO | ============================================================
2026-06-24 13:57:04 | INFO | Embeddings : (100, 768)
2026-06-24 13:57:04 | INFO | Metadata   : 100
2026-06-24 13:57:04 | INFO | Index size : 100
2026-06-24 13:57:04 | INFO | Searching Top-20 nearest neighbours...
2026-06-24 13:57:04 | INFO | Nearest neighbour search completed.
2026-06-24 13:57:04 | INFO | Generating Top-K candidates...
2026-06-24 13:57:04 | INFO | Candidates : 1,065
2026-06-24 13:57:04 | INFO | Recommended threshold: 0.8702
2026-06-24 13:57:48 | INFO | ============================================================
2026-06-24 13:57:48 | INFO | Paper2Fig-2026 Positive Pair Mining
2026-06-24 13:57:48 | INFO | ============================================================
2026-06-24 13:57:48 | INFO | Embeddings : (100, 768)
2026-06-24 13:57:48 | INFO | Metadata   : 100
2026-06-24 13:57:48 | INFO | Index size : 100
2026-06-24 13:57:48 | INFO | Searching Top-20 nearest neighbours...
2026-06-24 13:57:48 | INFO | Nearest neighbour search completed.
2026-06-24 13:57:48 | INFO | Generating Top-K candidates...
2026-06-24 13:57:48 | INFO | Candidates : 1,065
2026-06-24 13:57:48 | INFO | Recommended threshold: 0.8702
2026-06-24 13:57:50 | INFO | Saved : D:\Research\PhD\Plagiarism\train\paper2fig2026\analysis\mining\topk_candidates.csv
2026-06-24 13:57:50 | INFO | Filtering positive pairs...
2026-06-24 13:57:50 | INFO | Positive pairs : 4
2026-06-24 13:57:50 | INFO | Saved : D:\Research\PhD\Plagiarism\train\paper2fig2026\analysis\mining\positive_pairs.csv
2026-06-24 13:57:50 | INFO | ============================================================
2026-06-24 13:57:50 | INFO | Positive pairs : 4
2026-06-24 13:57:50 | INFO | Finished in 1.77 seconds
2026-06-24 13:57:50 | INFO | ============================================================
